,combo,target_feature,before_rmse,before_r2,before_mape,after_rmse,after_r2,after_mape,n_worst_trees
172,"(1, 2, 17)",product_titer,1116997.4953566233,-906.0613866059167,1.9394054038107773e+18,567756.863447799,-460.0487758072957,1.339182817963212e+18,20
173,"(1, 2, 17)",product_titer,1116997.4953566233,-906.0613866059167,1.9394054038107773e+18,524525.4615500055,-424.942577706278,1.3955613201250693e+18,25
174,"(1, 2, 17)",product_titer,1116997.4953566233,-906.0613866059167,1.9394054038107773e+18,483704.61742149096,-391.79388074719236,1.400417133478726e+18,30
175,"(1, 2, 17)",production_rate,676.7637961186264,-4158.466858045018,5660676940727074.0,551.9938750306445,-3391.616806930014,4615013459214033.0,10
176,"(1, 2, 17)",production_rate,676.7637961186264,-4158.466858045018,5660676940727074.0,505.19281382885976,-3103.9721898470425,4315815806608200.5,15
177,"(1, 2, 17)",production_rate,676.7637961186264,-4158.466858045018,5660676940727074.0,469.833051155961,-2886.6470879580534,4232742105501227.5,20
178,"(1, 2, 17)",production_rate,676.7637961186264,-4158.466858045018,5660676940727074.0,418.62012587584826,-2571.8866551041274,3886416824673658.5,25
179,"(1, 2, 17)",production_rate,676.7637961186264,-4158.466858045018,5660676940727074.0,371.5489182567055,-2282.5816875764895,3634323546159788.0,30
180,"(1, 2, 47)",OD,19.726902603088593,-6.164577286682488,10.074713123843486,13.544920460445796,-3.919354621117102,8.357763531112028,10
181,"(1, 2, 47)",OD,19.726902603088593,-6.164577286682488,10.074713123843486,11.1356807419913,-3.0443473018073863,7.54430992383943,15
182,"(1, 2, 47)",OD,19.726902603088593,-6.164577286682488,10.074713123843486,9.542381566145297,-2.4656799197132035,6.9851257791875065,20
183,"(1, 2, 47)",OD,19.726902603088593,-6.164577286682488,10.074713123843486,8.305310632226837,-2.0163904142345475,6.504234612791796,25
184,"(1, 2, 47)",OD,19.726902603088593,-6.164577286682488,10.074713123843486,7.32659370134261,-1.6609320214908805,6.0399371230072365,30
185,"(1, 2, 47)",growth_rate,0.1558083287906799,-141.34569432502124,52.917850973409976,0.15414118668547844,-139.82260180265556,52.60591800975282,10
186,"(1, 2, 47)",growth_rate,0.1558083287906799,-141.34569432502124,52.917850973409976,0.15335677617100682,-139.10596835831436,52.457657345741765,15
